# word	clue	clue_type	freq
# Derived from dwyl/english-words (Unlicense) and Webster's
# 1913 via matthewreagan/WebstersEnglishDictionary (public
# domain). Regenerate with scripts/build_bank.py.
ANNA	An East Indian money of account, the sixteenth of a rupee, or about 2	proper	3
ANTI	A prefix meaning against, opposite or opposed to, contrary, or in place of	definition	8
ANUS	The posterior opening of the alimentary canal, through which the excrements are expelled	definition	16
APEX	The tip, top, point, or angular summit of anything	definition	54
APUS	A genus of fresh-water phyllopod crustaceans	definition	3
ARCH	Any part of a curved line	definition	728
ARIA	An air or song	crosswordese	9
ARID	Exhausted of moisture	definition	12
ARMS	Instruments or weapons of offense or defense	definition	452
ARMY	A collection or body of men armed for war, esp	definition	367
AROW	In a row, line, or rank	definition	2
ASHY	Pertaining to, or composed of, ashes	definition	10
AVES	The class of Vertebrata that includes the birds	proper	27
AVID	Longing eagerly for	definition	2
AWRY	Turned or twisted toward one side	definition	13
AXLE	The pin or spindle on which a wheel revolves, or which revolves with a wheel	definition	63
BAAL	The supreme male divinity of the Phoenician and Canaanitish nations	proper	10
BABY	An infant or young child of either sex	definition	22
BACK	A large shallow vat	definition	945
BADE	A form of the pat tense of Bid	proper	7
BAIT	Any substance, esp	definition	52
BALK	A ridge of land left unplowed between furrows, or at the end of a field	definition	18
BALL	Any round or roundish body or mass	definition	319
BANG	To beat, as with a club or cudgel	definition	7
BARE	Without clothes or covering	definition	108
BASK	To lie in warmth	definition	2
BAST	The inner fibrous bark of various plants	definition	1
BAWD	A person who keeps a house of prostitution, or procures women for a lewd purpose	definition	6
BAWL	To cry out with a loud, full sound	definition	4
BEAU	A man who takes great care to dress in the latest fashion	definition	473
BEEF	An animal of the genus Bos, especially the common species, B	proper	82
BEND	To strain or move out of a straight line	definition	176
BERG	A large mass or hill, as of ice	definition	1
BERM	A narrow shelf or path between the bottom of a parapet and the ditch	definition	1
BETA	The second letter of the Greek alphabet, B, b	proper	10
BICE	A pale blue pigment, prepared from the native blue carbonate of copper, or from smalt	definition	3
BIER	A handbarrow or portable frame on which a corpse is placed or borne to the grave	definition	9
BILK	To frustrate or disappoint	definition	1
BILL	A beak, as of a bird, or sometimes of a turtle or other animal	definition	295
BIND	To tie, or confine with a cord, band, ligature, chain, etc	definition	147
BINE	The winding or twining stem of a hop vine or other climbing plant	definition	1
BIRD	Orig., a chicken	definition	765
BIRR	To make, or move with, a whirring noise, as of wheels in motion	definition	1
BLAB	To utter or tell unnecessarily, or in a thoughtless manner	definition	3
BLAT	To cry, as a calf or sheep	definition	1
BLEB	A large vesicle or bulla, usually containing a serous fluid	definition	2
BLET	A form of decay in fruit which is overripe	definition	1
BLOT	To spot, stain, or bespatter, as with ink	definition	23
BLUR	To render obscure by making the form or outline of confused and uncertain, as by soiling	definition	7
BOAR	The uncastrated male of swine	definition	28
BODE	To indicate by signs, as future events	definition	8
BOER	A colonist or farmer in South Africa of Dutch descent	proper	1
BOLL	The pod or capsule of a plant, as of flax or cotton	definition	5
BONY	Consisting of bone, or of bones	definition	108
BOTH	The one and the other	definition	1024
BOUT	As much of an action as is performed at one time	definition	13
BRAY	To pound, beat, rub, or grind small or fine	definition	7
BRIN	One of the radiating sticks of a fan	definition	1
BRIT	The young of the common herring	definition	88
BUBO	An inflammation, with enlargement, of a limphatic gland, esp	definition	5
BUFO	A genus of Amphibia including various species of toads	proper	3
BUMP	To strike, as with or against anything large or solid	definition	4
BURN	To consume with fire	definition	91
BUSH	A thicket, or place abounding in trees or shrubs	definition	96
CALM	Freodom from motion, agitation, or disturbance	definition	118
CARD	A piece of pasteboard, or thick paper, blank or prepared for various uses	definition	125
CARE	A burdensome sense of responsibility	definition	418
CARL	A rude, rustic man	definition	5
CASA	A house or mansion	definition	1
CASE	A box, sheath, or covering	definition	653
CAUL	A covering of network for the head, worn by women	definition	5
CAWK	An opaque, compact variety of barite, or heavy spar	definition	4
CEDE	To yield or surrender	definition	4
CEIL	To overlay or cover the inner side of the roof of	definition	2
CERO	A large and valuable fish of the Mackerel family, of the genus Scomberomorus	proper	2
CETE	One of the Cetacea, or collectively, the Cetacea	proper	1
CHAW	To grind with the teeth	definition	1
CHEF	A chief of head person	definition	2
